x,y,class
3.8821708969657522,2.1658987835435637,red
4.45956725489377,1.376946602190685,red
2.2471978908934878,1.9341645720274372,red
4.374993400652732,0.42524534116912416,red
2.082993594020709,0.3158363463682955,red
3.27634951215537,1.7470208191908796,red
4.389714351350241,1.4639217156397826,red
4.342298550970004,1.5780959771656016,red
4.259115581037524,-0.6738962146602872,red
3.2341586799489153,1.9384747815709371,red
2.9669489058943364,1.3841911395115283,red
3.8107963543633434,1.4964113020761514,red
4.322622378859053,-0.6767392024177186,red
3.2832046875243166,-0.8589828435752023,red
3.623443158431251,0.2864830479625322,red
4.572297128645635,2.720397597648753,red
4.723936705175445,0.7314636192015468,red
3.042687623129725,2.2244910759406338,red
4.529406087724702,0.9040085157882988,red
5.013170069551775,1.712904356244303,red
4.270040339408448,-0.1496402876628642,red
3.7671015799178162,1.3604312730235804,red
3.330492169064614,2.5178465993744483,red
4.731964834991889,1.6240957450891949,red
4.5712539873537965,2.8509357638893773,red
4.374446546822142,1.276102983643097,red
2.4931779975481523,0.6216816668456815,red
3.870917080620544,2.046356269527898,red
3.8997223618798595,1.7556146812850233,red
4.710949752464595,1.5199153638560334,red
2.940772061034849,0.5021798839547691,red
3.1244092544230067,1.9113431250791277,red
2.9023313406460796,0.17735101179446666,red
2.9833281383079813,-0.03304380536523932,red
4.491209264015508,-1.0876174536084617,red
4.701065064926483,0.5783058451198844,red
5.0552518521957985,1.6581820070169377,red
3.2216716839937236,0.6853933544116348,red
5.003464708421396,0.05536820135160281,red
4.029579434678771,1.345888185559926,red
4.283926328701801,-0.10598327685903608,red
4.510934833026743,1.5247323837464137,red
4.2804743672840155,0.41835292082363007,red
3.5216185504257145,1.8812255555600115,red
2.4551989586572773,0.5824464320115921,red
4.109269915100103,-0.27242138412914096,red
4.691207371092299,0.9200221082749125,red
3.701286464123983,1.187032546919136,red
5.054941473690755,0.6052522878970421,red
4.117263996914532,1.5415376616885414,red
2.434799872436528,2.195245885610632,red
4.138253113640738,0.12589016034719425,red
3.932122547699616,0.7919718199294967,red
5.228702030834569,1.3324666460920611,red
3.618282901534577,0.4669328357617958,red
5.579295318605046,1.719936473020615,red
3.6265541764995524,1.9791218390367096,red
3.8772818671968516,1.7500085354924217,red
2.7157628317569764,2.311239644047819,red
5.557781676273543,-0.1976797376742523,red
5.202542188076688,0.922696771443224,red
6.374118865401316,1.7336858328640907,red
2.1995436257707057,-0.4167910131172057,red
1.2424779251680937,1.3258785238182684,red
3.9870577905046742,-0.8060515985802834,red
4.843204357639793,0.4139080128496303,red
4.8841969548167645,0.5886544150331017,red
5.027637914729219,1.555009948014399,red
4.194771104224849,0.27314056957724675,red
3.7039274854407194,2.8239488067703626,red
2.8775291391703233,-0.6982830793677357,red
4.412494809377959,1.084086089140767,red
2.9460914872959787,1.3582030351391476,red
2.410106679570758,0.9745567357795297,red
3.5581909165945373,0.6117856449024885,red
3.7324898057631803,0.7573352960488199,red
6.559265548499166,0.38506122882989213,red
4.458985279479167,0.018165670264467138,red
4.755982699841753,1.1307144421673874,red
5.019649347374898,0.45665245517083286,red
